Tweet,Text Label
"hehehe. mine pleasure. Btw I too so loves it  when people be presumptous pricksy wicksies! feel jolly nice for me ass to rub on.",Bullying
"I've only lived a quarter of my life and no crisis so far... loser experience  yeah...couple of kinky pinky stuff-yeah. But crisis? Naa",Bullying
"imagine a building. not any building...a fucking 300 acre building full of weed....not any weed...but Caucasian Monkey-fuck Weed!",Bullying
"Ugh  twitter stop it  you fucking slut.",Bullying
"HAHAHAHAHAHAHAHAHAHAHAHAHA (eww now thats fucking gross!) HAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAAHAHAHAHAHAHAHAHAHAAHAHAAHAH",Bullying
"cute video lexi u hve some of the of the weridest & cutest little toys i know wht u'll say (shut the fuck up ACH) haha",Bullying
"Fuck the pics! @giove_dea WE WANT VIDS!!",Bullying
"Hard to play because it is damn fucking awful",Bullying
"you got that right! People stealing others' generators  & other stuff inside the homes when they know no one's home..sucks big time",Bullying
"no grown man should include DIP in his sentence....lol...I know I'm hatin but fuck it I'm lookin @ snow..lol",Bullying
"oh god  we have an icp display in our window  and weve been getting so many fucking juggalos and they smell sooo bad.",Bullying
"you should have her talk to @junsten about that. Similarly  he once told me  completely out of the blue  ""I'd hate to be a bird.""",Bullying
"I nominate @PRsarahevans for a Shorty Award in #socialmedia because... Shes damn good at everything to do with Social Media.",Bullying
"Captain Jean Luc Pic-card of the USS Enter-prize  Captain Jean Luc Pic-Y'KNOW WHAT? FUCK YOU  TEMPLESMITH!",Bullying
"FUCK YOU RIGHT IN THE FILTHY PUCKERING SPHINCTER YOU CALL A SOUL!",Bullying
"another downside to living in DSM but working in Indianola:  lunch meetups are usually not possible. :( damn isolation!!!",Bullying
"there's nothing better than listening to music on shuffle and hearing you say ""you bitch!"" randomly in the middle of it.",Bullying
"I got it. How many damn websites do u have homie! Sheesh!",Bullying
"U know they all the same dame spot! I bet ya'll got the same damn middle eastern type of cats cooking that crack up too!",Bullying
" kno I check ur blog out! Alpha females vs being a bitch.....damn u be analyzing!",Bullying
"haris i m trying to control my fat tummy did'nt eat from 2 days :D",Bullying
"700. you glutinous bitch!",Bullying
"Ok  you're starting to sell me on these vinyl toys (damn  that sounds bad)",Bullying
"So true  so true.  Lame ass people are now officially off my radar!!!! Bu-bye!",Bullying
"lo thankyou.. will see you soon :) and i hav to send a mail to u damn!",Bullying
"Have you tried 'fuck' and 'Fuck'? (yes  they are different)",Bullying
"Well  not unless he wants some hot Vulcan action.  It only happens once every seven years  but damn  is it worth it.",Bullying
"damn i was hoping for some cash out of this... how bout 5 for pain and suffering lol",Bullying
"that sucks... she should prolly just change her major lol",Bullying
"that sucks... so are there plans to get back together? or are they done?",Bullying
"you are a fatty fat fat",Bullying
"you never posted your blog. and today is guest blog day. get with the program my slut pink zebra. LOL loveee you anyway!",Bullying
"they're not gross. U shaddup u fat ass HATER!!! & yes I made them for mark & my son.",Bullying
"no one likes every fat snack u do bitch! so shaddup ahahahahaha",Bullying
"stop the hateration bitch! it's only gonna make that mohawk stand up rotf!!!",Bullying
"ask him why he's jumping out of the window. And ask him hows he gonna do it in those tight ass jeans???",Bullying
"'Night Guy' is ALL motivated @ 11pm but he knows 'Morning Guy' is gonna hate him when Miss Emily arrives at 5:30am ;-) Night Tweets!",Bullying
"OK but I'm telling you  it's going to be hard for me to fight my inner grammar nerd. I'll do it for the cause though ;)",Bullying
"mythbusters is a great and nerdy show. Embrace your inner nerd..no suprise they were on the launch of youtube live ha NERDZ ROOL",Bullying
"lol @ ""the bitch"". damn.",Bullying
"damn. thats crazy early. i wont hit the city til 9:30 but i will be a few blocks from the spot.",Bullying
"Slurpees are awesome. Damn  now I really really want one O.o",Bullying
"I can see it now. ""Listen  you cow-loving yahoos  just put all of the slurpee in this bag! What? Cups? I don't need fucking cups!",Bullying
"i loved it  i laughed my ass off",Bullying
"ahh  you might be on to something...damn techies",Bullying
"The pig of shame? Lol! Is that like the aardvark of discontent?",Bullying
"Still - it's damn moronic that media people can't access media - particularly media made by their own company!",Bullying
"if anyone said Arial I'm gonna beat their ass.",Bullying
"well find him and kick his butt too! I hate it when people take advantage of the mentally challenged.",Bullying
"Tell her she says Bitch like it's a bad thing",Bullying
"I did have a moment of seriously considering that. I mean... my Dirt Devil sucks. But I didn't plan on buying a new one soon",Bullying
"Ugh! I hate when I get spam followers... They shouldn't count against our talley of actual followers... :-p",Bullying
"You know what you are? You're like a big bear with claws and with fangs... big fucking teeth  man.",Bullying
"Damn  you're totally geeking out on us tonite.",Bullying
"the eagle w/ @leahsairy ... Decided 2 not do power lesbian night @ mecca & hang out w/ our real queer ppl 2night. gr8 indy band. Emo punk.",Bullying
"we are so silly and pathetic and so fucking cool! You tellin me you choking made me choke! And I am sitting next to some girl w ...",Bullying
"Let your hate for Gambit grow. Embrace it. Spread it.",Bullying
"dig deep and find that special Christmas hate!",Bullying
"I tried to rickroll my office christmas party last night but the damn band didn't know it!",Bullying
"even though I was at the same lunch as you  we missed you at our end of the table! Need a damn smart phone! Coulda tweeted back.",Bullying
"Smack a bitch? :-D",Bullying
"rock  not the. He gives the emo populists limp wrist rocker throw.",Bullying
"Already on the less #damn-fridays  more #bad_wookie_pun",Bullying
"women are fucking disgusting.",Bullying
"you bet your sweet ass you will!",Bullying
"dating a 4 year old? Damn. You're faster than me. I only caught 3 year  not any weed...but Caucasian Monkey-fuck Weed!",Bullying
" will do when i get home  only time i heard it was warped though  fuck life!",Bullying
"Man  why u live in NYC in that crazy ass weather. Move out to LA. It's nice EVERYDAY. NYC is soo over-rated! lol",Bullying
"i got ur ticks  but yo ass ain't gonna come! lol",Bullying
"Ugh  ok... I hate NYC also. Hmmm. thinking...We are having a Screening on the FOX Lot that week. Maybe u can roll through?",Bullying
"stuff like building the forums is what I do when writing is kicking my ass  that's how I do it ;)",Bullying
"Also  I caught that ""Gai-damn"" earlier  and I support it 100% ;)",Bullying
"gee  i'd hate to see what you say about the family ;)",Bullying
"dude dont tell me what to do thats not your place. i do what i want. just chill the fuck out and worry about yourself.",Bullying
"damn fine! The snow is gone thank god!",Bullying
"That sucks.  Life can't really be that bad  right?  Chocolate does always help.",Bullying
"i hate you :P happy birthday dude  good to know your enjoying it",Bullying
"thats a good question.  most lawyers HATE that stuff.",Bullying
"YOU STUPID WHORE I HOPE YOU ARE IN YOUR HOUSE WHEN I BURN DOWN YOUR HOUSE YOU STUPID WHORE WHY WOULDN'T YOU GO TO PROM WITH ME",Bullying
"oh guess who got an australian shephard puppy today. note: NOT ME. the other roommate. yeah. another. fucking. dog.",Bullying
"ummm. Ya. That's pretty damn pimp.",Bullying
"as much as I hate the winter  those pics are beautiful. We've had insane-o storms like that in MO. Sucks so bad  esp sans power",Bullying
"got delayed.  your ass kicking will have to wait.",Bullying
"I know it sucks  but I'm actually envious of you.  Though I have orientation for a tutoring program on the 14th.  Did I tell you?",Bullying
"it was just a joke man..i wasnt taking the piss out of anything.",Bullying
"i hate your face sounds EXACTLY like something i would say.also reminds me of a drunk girl trying to fight me and",Bullying
"i was spanked but do not  only because it makes my kid behave worse  so doesn't work. not a lot does work-kinda sucks too.",Bullying
"I've been messing around with some of the beta releases. It murders every other WP version (widget panel still sucks though).",Bullying
"Are you laughing your ass off with all these ""juicy"" twits?",Bullying
"yeah we do... damn this time difference *HUGS*",Bullying
"OMG bundesliga and brasilian bossanova. This was worse than seeing your loved family dog licking his ass. I'm scarred",Bullying
"hmm so thats suk your soul hate and reinvent you to get my dry cleaning hate?",Bullying
"yep. I didn't think to go online and check calorie/fat count until AFTER dinner. Bummer.",Bullying
"wow - mommy's little cheerleader! *must... not... take... the...piss......*",Bullying
"lol.. that sucks..it's so nice in miami... catching that ocean breeze from the balcony....don't want to rub it in...lol",Bullying
"oh hot damn!",Bullying
"He can't hear you  his head's too far up his own ass.",Bullying
"Prison Bitch is a sparkling addition to any resume.",Bullying
"a constant receiver does not a giver make. Prepare to be Prison Bitch Blagojevich (new campaign slogan  it rhymes)",Bullying
"that sucks that you're sick. Sorry to hear that.",Bullying
"No thanks. I don't want cable. I hate most TV shows. I really hate commercials. I get my news online. I'm good. :)",Bullying
"try telling your parents that you don't want to see them. see how well that fucking works out for you  yeah?",Bullying
"Football. I hate it. It&#8217;s official  I&#8217;m bad luck.",Bullying
"I fucking love Haunted.",Bullying
"I didn't know you were an avid football watcher. Is that even football? I think it is. Fuck sports.",Bullying
"lol kevin bought me damn near nothing and we dated for over 10 months. my life sucks.",Bullying
"Yea it sucks!!",Bullying
"Indeed. But the Collier conversation relationship head up your gleeful ass kumbaya stuff needs to be put out with the trash.",Bullying
"yeah i am glad i have the next 2 days off.. I just have to get through xmas eve and the weekend afterwards. damn gift cards",Bullying
"hot damn! did you get an iPhone too?",Bullying
"aw  thanks. it's going better than yesterday  that's for damn sure. :-D",Bullying
"no. i must have missed that one. damn. ;-)",Bullying
"have a safe flight.....damn now you make me want some jamba juice",Bullying
"I got it for Wii  when I get back from my dad's we're gonna play and it will be so kick-ass.",Bullying
"http://twitpic.com/xm6u - You have an inbox folder for CYA - Covering Your Ass?",Bullying
"him and his damn tech stuff bwahaha",Bullying
"i'm not emo. I'm fucking happy!",Bullying
"well now I have to edit myself and you know how I hate that!",Bullying
"if u get a stye is it from seeing a dog shitting or fucking?  And what do I do with my fingers?  Consult H if u need to.",Bullying
"what does that say about me that I was laughing my ass of when I heard that. Rapping the word titties is just damn funny",Bullying
"& I was there helping your ass pack to get on the plane. A tru friend - helping you track a sub sized weiner like fucking GPS",Bullying
"you have officially been put on my bread stick mailing list. Fuck those rock republics and eat something already.",Bullying
"i get that ha ha smart ass :p",Bullying
"i feel pretty oh so pretty...i feel pretty and witty and gAY! Ha ha good times",Bullying
"Yeah  I mean I know the plan and the creative are kick-ass. But sometimes clients have a warped view.",Bullying
"Oh man  that sucks. @Vincentdooly can you help @dsmoore out?",Bullying
"yea the weather sucks. At least you missed the 8 degree weather though lol.",Bullying
"I do  but I'm an American. Hence  I'm a pussy.",Bullying
"God.. that commute has to be a bitch dealing with.. driving back and forth from Raleigh to Fayetteville...",Bullying
"I take full pride in being a nerd. Hahah.",Bullying
"THAT'S AN UGLY ASS PICTURE!",Bullying
"Pretty much  but now there will be less AIM errors! Weeeee  you can see that I don't type like a retard!",Bullying
"My grandmother is a big bitch and my father's a fraking arsehole.",Bullying
"you must be bored...you are a twitter whore today. ;)",Bullying
"man i'm jealous of your day! i'm also hooked on twitter. damn arv. like i needed another procrastinating tool like this.",Bullying
"just don't eat a meal replacement bar.. I fucking threw up!!",Bullying
"fuck duke!",Bullying
"what if their ""you"" really sucks? like  why be a wack person when you can be an imitation of a more cool person? i think this",Bullying
"2 weeks? how am I gonna live without money for 2 fucking weeks?",Bullying
"Well get your ass busy!",Bullying
"Hi new friend! I like your personality.super cool:) Yeah I forgot it is like 9 am there..that sucks!",Bullying
"damn that sucks..I hope you are ok now",Bullying
"haha! No. We have a new stand up board at work and we have barstools to sit on. I hate them!",Bullying
"Excited that yr friends get to see yr show. I hate them. ;) No  rly  I do. .....Sad that tonite is last show.  Hard to say goodbye?",Bullying
"Thanks. Nothing just watching ""Jack ass"". Are you having fun doing nothing over there?",Bullying
"Well  that's upsetting. We can party it up over here. Jack's ass is quite enjoyable thank you",Bullying
"Fuck. Well  you can for a low cost of 19.99 with shipping and handling. But that's only if you really want to.",Bullying
"Fuck again. Call 1800QZAK. Then your problems will be solved. I might even get you a discount",Bullying
"If you stay home to twitter and have a martini on NYE does that make you a loser?  don't answer that...  I don't want to know",Bullying
"you're a fucking maniac.",Bullying
"its ok decided not to go to fam party. going back to bed. wtf moon i hate you. wtf life. dead.",Bullying
"HAHA WHYYYYY do you hate my school!? NOOOOOO :(:(:",Bullying
"FUCK SUNDAY im super bummed.",Bullying
"whelchers fuckin suck ass!",Bullying
"some peoples drama just sucks!",Bullying
"well that sux donkey dick. No interwebs is kinda a pain for ur work.",Bullying
"Then she changed roles and she is a little less bitch from hell but still  her sting has too much barb.",Bullying
"today feels like sunday.....damn lol",Bullying
"Damn didnt even see that lol  : /",Bullying
"HATE THAT...happened to me today i was like...YOUR WELCOME *cut eye* and walked back out lol",Bullying
"i hate hate hate it with a passion!! lol...i know the calls are recorded i talk mad shyt down the phone LOL!!!",Bullying
"don't you hate that?  Though I have so much product to make by the weekend I wish it was Tuesday.",Bullying
"i think its a cultural fad.. starbucks coffee sucks and its wayy overpriced.",Bullying
"i just deleted all the people that i have on my facebook off myspace Damn if everyone switched i could just delete the account",Bullying
"no! I think UofA's navy jerseys on white pants rule.  And all red sucks. But seeing BYUs colors  I guess all red makes sense.",Bullying
"here 2!Another big storm is blowing our way. I hope it waits until I'm home from work b4 it starts snowing. Hate driving in it!",Bullying
"no i think you will hate it. Its a bunch of dirty work.",Bullying
"the iced media party. Long ass day at the office  time for a drink or 3",Bullying
"easy! keyshia sucks. It's pathetic when an actor makes a better album in his 3rd profession (act  stand up) than you do in your first",Bullying
"@TheflyGIRL Done! But I must tell you  that negro got a hard ass head. My elbow hurts...",Bullying
"LOL at the Razor Ramon shit. I surely was gonna Ultimate Warrior his ass. Shaking the ropes and the whole 9!",Bullying
"You done started something! Got me all nostalgic and shit KNOWING good and damn well I got work to do...LOL",Bullying
"@mekdot yo...heroes sucks!!! I loved season 1  despised 2 and feel like season 3 is a lousy high school special. BOO HISS BOO!!",Bullying
"personal photos",Bullying
"That sucks  they owe you much?",Bullying
"Boo  to be fair they shouldn't give away your room. Kick their ass!",Bullying
"Wow  that's bad-ass. You're like Stanley now. Well  even more so...",Bullying
"lol figured. So anyway  anna is still being a bitch(sorry for the language) She doesnt want to go on the trip. So now onto plan B",Bullying
"anna just has to ruin the holidays for me  just like every year. Damn you anna!",Bullying
"rock out with ur cock out dude!!!",Bullying
"that's a shame  I hate having to unfollow someone! :-P",Bullying
"BIG FAT HARD HAWAIIAN DICK. Too much?",Bullying
" i hate that too - i have blocked a few of stalker / serial networkers on fb too.  maybe they should tweet first?",Bullying
"LOL - nah  that's just what we tell the loser guests that we usually toss down in the newsroom!! oh  wait...",Bullying
"Israelis to Spanish FM ... Kiss my ass.",Bullying
"No  but I'm saying that money that has gone into Gaza SHOULD be feeding people  not waging war and breding hate.",Bullying
"I had a dream involving a rhino chasing me because of my polo cologne. Everyone says it represents a fat woman. My life sucks.",Bullying
"Taking the piss = talking trash  perhaps",Bullying
"& @babysinead that dude is a fucking PSYCHO. i turned down working for him and he told ppl that I DID and that i was TROUBLE.",Bullying
"& @babysinead i've never even met him in person. he's a fucking douche.",Bullying
"I get that too! It sucks!",Bullying
"hey fag why you gotta ask the whole world!? j/k your awesome",Bullying
"gotta love the gay kid who was drumming trying to get his head in the pic tho HAHA",Bullying
"Sheeyat....Freezing rain is no punk. Hope you didn't fall & bust your ass in the parking lot.... I almost did.",Bullying
"Damn skippy. I should be dead 10 times over......",Bullying
"Its foggy as hell here too. Looks like damn Seattle.",Bullying
"lol penelope died?? thats so depressive  i have a compaq it sucks  i dont have a name for my computer tho : )",Bullying
"Do you really have a big man ass?",Bullying
"i don't know that bambi's ass is a nice place. LOL",Bullying
"attention whore!",Bullying
"I laughed so hard when I first heard because my gay husband (good friend  lol) says code 3 when he has an emergency",Bullying
"http://twitpic.com/xipq - this only makes me hate having a verizon contract even more.  erg.",Bullying
"no guarantees.  hate the place. I'm ust going there to make sure my parents are still alive.",Bullying
"AWWWW I HATE THAT!!!! I had to buy that gadget you can stick your hard drive into to pull them off. SO SUCKS! Sorry. :0(",Bullying
"Praying for your grandmother and your momma. I hate that they are facing so much.",Bullying
"bitch please your gorgeous",Bullying
"i fucking hate that word  hahaha.",Bullying
"i know  haha. 1408 is so gay. i don't even know why i'm watching it.",Bullying
"omg - that sucks arse! I am so sorry =/",Bullying
"Sounds like good times. I'm in the office until 7:00 and then I'll probably go for a run. I'm a fat boy getting fatter.",Bullying
"Ye Olde Cock looks nice.",Bullying
"sure you can  I'll hide the flashlight. go emo go!",Bullying
"emang lagu2nya emo? bukannya mellow? :D",Bullying
"gitu emo jaman dulu ya :D",Bullying
"Listen  RayRay  I gave you the lowdown as soon as I got it. I hadn't heard it b4 and I was shocked. She seems to hate his guts.",Bullying
"I thinks you meant to say that TWILIGHT was epic fail  not your mistake. I hate stephanie meyer and I've never even met her.",Bullying
"lawl. Sucks to be THEM  then.",Bullying
"I'd die first. Damn fareway.",Bullying
"LMAO! He's horrible. The Beatles changed the fucking WORLD! And are still an icon to this day. Who the fuck are you?!?!?",Bullying
"I need to see how this ravin rabids game works first. It'd all have to be in the ass moving. Maybe not moving enough = bad oral?",Bullying
"holy fucking jesus mother  gad damnit WTF? wow.",Bullying
"really? Thank fucking god for sleeping pills!",Bullying
"dude  that pic of you in the Gold 2009 flyer looks like a friggen glamour shot  fag. hearts!",Bullying
"Eff yeah! give @jeffreyparadise and @richiepanic a slap on the ass for me",Bullying
"you are fucking killing me. Please come to a party at my house next time yer in LA. Rice pilaf will be ready",Bullying
"I hate to open the flue after a long fall. We get birds or dead squirrels...totally scary!!!!!",Bullying
"depends on how much you hate fighting w/your light. I read in the car a lot while hub drives  so very worth it to me.",Bullying
"he won't wanna pet the guinea pig?",Bullying
"i'd love to visit (or live) in sa...(truncated 2659211 characters)...can't. So when it comes down to it  theres nooo reason a male should ever hit another female. Ever.",Non-Bullying
" heck yess.",Non-Bullying
" Do you believe in life after death?",Non-Bullying
" i wish u werre fake",Non-Bullying
" both :P",Non-Bullying
" I dont havee mineee D:",Non-Bullying
" Middle school? Well I've never been emo haha but I don't think Ive been any of those. I was really independent from the beginning. Sooo I was the girl that had glasses and wore the straight legged jeans till jr high but was really funny and everyone liked &amp; was friends with anyways. Areopostale was instyle bigtime when I was in middle school so idk I was friends with everyone though. r And I didn't wear makeup till I was a Jr in HighSchool!! haha",Non-Bullying
" How many hours of sleep do you need to function?",Non-Bullying
" I havent seen it yet  i really like his cd though.",Non-Bullying
" TABIAHHHH...",Non-Bullying
" its more like 5 mins :) and i was delayed by a train ;)",Non-Bullying
" Name something that&;s better when it&;s in your hands?",Non-Bullying
" i used to think that but not anymore.",Non-Bullying
" They say the garden of Eden was in Iraq. Then where is Hades?",Non-Bullying
" nope. idk what i am haha",Non-Bullying
" favorite drink ?",Non-Bullying
" What are your plans for the weekend?",Non-Bullying
" baptist.",Non-Bullying
" Yes I do. :]",Non-Bullying
" ever tought about going to the Moon or anouther Planet ??",Non-Bullying
" favorite dish",Non-Bullying
" I love cameras. Show your face yooo",Non-Bullying
" Nope. Ohio :]",Non-Bullying
" comedy",Non-Bullying
" i may",Non-Bullying
" What&;s a word that rhymes with TEST?",Non-Bullying
" ! w@nn@ fuck y0u. @nd y0u d!d f0rq3+ @b0u+ d@+ h03 VvV",Non-Bullying
" every now and then",Non-Bullying
" Do you prefer Tupac the best singer in the WORLD i mean was he dead and who doesnt like lee",Non-Bullying
" i do <3",Non-Bullying
" God that was a fun night  I want to relive it...we danced in wall mart to betoven bahahaha",Non-Bullying
" Tabi is real!!! i knew her when she lived in Idaho!-Kinly",Non-Bullying
" What was the first thing you thought when you woke up?",Non-Bullying
" NOT AT ALL",Non-Bullying
" it wass gudd",Non-Bullying
" Do you like your eggs scrambled or sunny side up?",Non-Bullying
" gay or lesbians?",Non-Bullying
" If the whole world were listening  what would you say?",Non-Bullying
" if thats what he'd wanna do then im not doing something right. so no but that shouldnt be an issue",Non-Bullying
" A world without bees; good or bad?",Non-Bullying
" yeah idk either  i honestly think its that person we were just talking about  the one that annoys you",Non-Bullying
" If you had to give up one favorite food  what would the most difficult?",Non-Bullying
" So who is it that you like?",Non-Bullying
" haha it  was kayla that wrote that lol you thought it was phoebe i tricked you hahahahaahahahahah :D",Non-Bullying
" lol dnt worry iWill..Watz ya name?",Non-Bullying
" Will you b my valentine?",Non-Bullying
" im bout 5'9",Non-Bullying
" it makes conversation haha",Non-Bullying
" OMG!!!!! tell me!!!! ughh grrr rawrr bianca? LMAO! idkk TELL ME!",Non-Bullying
"1",Non-Bullying
" depends on what they're cooking. my dad makes amazing lasagna  chili and veggie soup. but my ma makes awesome fried chicken and wedges and mashes taters and baked ham.oh my!!",Non-Bullying
" I like parks :]",Non-Bullying
" If you saw your zipper was down and people had noticed  what would you do?",Non-Bullying
" Would you rather take the picture or be in the picture?",Non-Bullying
" Ohhhhh I get it now.",Non-Bullying
" If you could ask Barack Obama one question what would it be?",Non-Bullying
" Have you ever played Bloody Mary?",Non-Bullying
" Are minors allowed to drink in your state?",Non-Bullying
" lol",Non-Bullying
" Call me tomorrow at 7:00 AM.",Non-Bullying
" idk........",Non-Bullying
" how did youu know ?",Non-Bullying
" You can cast any actor now alive to play you in a film about your life. Whom would you cast in the role?",Non-Bullying
" which year was your favoroute school year... i know its not this year cause you had taylor in your class!but it still could be this year...",Non-Bullying
" Idk what &quot;love stoned&quot; is.. so idk haha",Non-Bullying
" Its just the way this world works these days. haha",Non-Bullying
" Nicee!",Non-Bullying
" How many keys are on your keychain?",Non-Bullying
" sherbert. yes :)",Non-Bullying
" are your parents on facebook?",Non-Bullying
" List 5 people you know. Then describe each of them in 5 words.",Non-Bullying
" Not yet ;] Sure hope so here soon!! :D",Non-Bullying
" Yes ma'am",Non-Bullying
" Have you told anybody you loved them today and meant it?",Non-Bullying
" tosha haejin goodin. real as it gets lol",Non-Bullying
" Have you ever been to South America or Africa?",Non-Bullying
" Hahaha(: ight",Non-Bullying
" spiderman.",Non-Bullying
" sometimes",Non-Bullying
" Haha awee' who is this?",Non-Bullying
" lolss dhat aiint gudd",Non-Bullying
" okayyy!",Non-Bullying
" not at all.",Non-Bullying
" Are the best things in life free?",Non-Bullying
" Yes I have actually.",Non-Bullying
" Hahahahaha thats funny. I wanna learn so I can read all the questions you answer in filipino...haha its not fair!!",Non-Bullying
" purple :P",Non-Bullying
" Why u so perfect!? ;)",Non-Bullying
" I want my mom to _________.",Non-Bullying
" hahahahahaha http://lmgtfy.com/?q=What+is+a+dero%3F",Non-Bullying
" Do you like your living arrangement?",Non-Bullying
" What do you think of my questions?",Non-Bullying
" If you could have been the author of any book  what would it have been?",Non-Bullying
" your like wiked pretty  im soo jealous :",Non-Bullying
" What&;s your favourite part to watch in Rent?",Non-Bullying
" If you&;re from Africa why are you white?",Non-Bullying
" wanting to help everyone but myself.",Non-Bullying
" hahahaahha i know  myspace.com/tabiisaninja",Non-Bullying
